"created_at";"u1";"u2";"time_interval";"frequence"
"2019-10-28 09:00:00";"1111517696791388160";"2222695932";436736;1
"2019-10-28 09:00:00";"1111517696791388160";"222278395";436736;1
"2019-10-28 09:00:00";"1111517696791388160";"2222090799";436736;1
"2019-10-28 09:00:00";"1111517696791388160";"222272360260571137";436736;1
"2019-10-28 09:00:00";"1111517696791388160";"222212938073440256";436736;1
"2019-10-28 09:00:00";"1111517696791388160";"222200074424700929";436736;1
"2019-10-28 09:00:00";"1111896686825705473";"2222257777";436736;1
"2019-10-28 09:00:00";"1111896686825705473";"222227024";436736;1
"2019-10-28 09:00:00";"1111896686825705473";"22220758";436736;1
"2019-10-28 09:00:00";"1111896686825705473";"22226937";436736;1
"2019-10-28 09:00:00";"1111896686825705473";"22228531";436736;1
"2019-10-28 09:00:00";"1111295483388706816";"2222762791";436736;1
"2019-10-28 09:00:00";"1111500661894860800";"2222762791";436736;1
"2019-10-28 09:00:00";"111112948";"2222580641639194625";436736;1
"2019-10-28 09:00:00";"111112948";"2222762791";436736;1
"2019-10-28 09:00:00";"111112948";"222272391";436736;1
"2019-10-28 09:00:00";"1111562549615341569";"222230560560132097";436736;1
"2019-10-28 09:00:00";"1111420643853021186";"2222419421244678144";436736;1
"2019-10-28 09:00:00";"1111420643853021186";"2222143068";436736;1
"2019-10-28 09:00:00";"1111223587839696897";"22227057";436736;1
"2019-10-28 09:00:00";"111160644";"2222762791";436736;1
"2019-10-28 09:00:00";"11111593";"222278395";436736;1
"2019-10-28 09:00:00";"111148847";"222278622";436736;1
"2019-10-28 09:00:00";"111157144";"2222762791";436736;1
"2019-10-28 09:00:00";"1111360776";"2222762791";436736;1
"2019-10-28 09:00:00";"111114775";"2222762791";436736;1
"2019-10-28 09:00:00";"1111186201";"2222762791";436736;1
"2019-10-28 09:00:00";"1111945981";"222234352070590464";436736;1
"2019-10-28 09:00:00";"111107875";"2222762791";436736;1
"2019-10-28 09:00:00";"1111010464";"2222762791";436736;1
"2019-10-28 09:00:00";"1111069517";"222244349";436736;1
"2019-10-28 09:00:00";"111124138";"2222762791";436736;1
"2019-10-28 09:00:00";"11112169";"2222780418";436736;1
"2019-10-28 09:00:00";"11112169";"22227569";436736;1
